model_id,org,downloads,likes,tags,created_at,fetch_date,card_chars,has_card,watermark_raw,watermark,watermark_evidence,provenance_raw,provenance,provenance_evidence,synthetic_disclosure_raw,synthetic_disclosure,synthetic_disclosure_evidence,prohibited_uses_raw,prohibited_uses,prohibited_uses_evidence,downstream_obligation_raw,downstream_obligation,downstream_obligation_evidence,regulatory_reference_raw,regulatory_reference,regulatory_reference_evidence,watermark_dependency_only,any_provenance_signal,any_provenance_signal_raw,license,license_group,download_tier,base_model,is_derivative
stabilityai/stable-diffusion-xl-base-1.0,stabilityai,1947914,8125,"diffusers,onnx,safetensors,text-to-image,stable-diffusion,arxiv:2307.01952,arxiv:2211.01324,arxiv:2108.01073,arxiv:2112.10752,license:openrail++,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us,deploy:sagemaker,deploy:azure",2023-07-25 13:25:51+00:00,2026-09-09,8592,True,True,False,".19.0: ``` pip install diffusers --upgrade ```  In addition make sure to install `transformers`, `safetensors`, `accelerate` as well as the invisible watermark: ``` pip install invisible_watermark transformers accelerate safetensors ```  To just use the base model, you can run:  ```py from diffusers import D",False,False,,False,False,,True,True,"al to generate harmful content. - Probing and understanding the limitations and biases of generative models.  Excluded uses are described below.  ### Out-of-Scope Use  The model was not trained to be factual or true representations of people or events, and therefore using the model to generate such content is out-o",False,False,,False,False,,True,False,True,openrail++,RAIL family,1M+,,False
stable-diffusion-v1-5/stable-diffusion-v1-5,stable-diffusion-v1-5,1563425,1266,"diffusers,safetensors,stable-diffusion,stable-diffusion-diffusers,text-to-image,arxiv:2207.12598,arxiv:2112.10752,arxiv:2103.00020,arxiv:2205.11487,arxiv:1910.09700,license:creativeml-openrail-m,endpoints_compatible,diffusers:StableDiffusionPipeline,region:us",2024-08-30 09:48:48+00:00,2026-09-09,14318,True,True,False,"oved-aesthetics"" (a subset of laion2B-en, filtered to images with an original size `>= 512x512`, estimated aesthetics score `> 5.0`, and an estimated watermark probability `< 0.5`. The watermark estimate is from the LAION-5B metadata, the aesthetics score is estimated using an [improved aesthetics estimator]",False,False,,False,False,,True,True,"of people or their environments, cultures, religions, etc. - Intentionally promoting or propagating discriminatory content or harmful stereotypes. - Impersonating individuals without their consent. - Sexual content without consent of the people who might see it. - Mis- and disinformation - Representations of",False,False,,False,False,,False,False,True,creativeml-openrail-m,RAIL family,1M+,,False
Lykon/dreamshaper-7,Lykon,892057,64,"diffusers,safetensors,stable-diffusion,stable-diffusion-diffusers,text-to-image,art,artistic,anime,dreamshaper,en,license:creativeml-openrail-m,endpoints_compatible,diffusers:StableDiffusionPipeline,region:us",2023-08-26 16:49:11+00:00,2026-09-09,2179,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,creativeml-openrail-m,RAIL family,100k-1M,,False
black-forest-labs/FLUX.1-dev,black-forest-labs,790579,14536,"diffusers,safetensors,text-to-image,image-generation,flux,en,license:other,endpoints_compatible,diffusers:FluxPipeline,region:us",2024-07-31 21:13:44+00:00,2026-09-09,3937,True,False,False,,False,False,,False,False,,True,True,"e information that can be used to harm an individual. - To harass, abuse, threaten, stalk, or bully individuals or groups of individuals. - To create non-consensual nudity or illegal pornographic content. - For fully automated decision making that adversely impacts an individual's legal rights or otherwise create",False,False,,False,False,,False,False,False,other,other,100k-1M,,False
RunDiffusion/Juggernaut-XL-v9,RunDiffusion,766250,430,"diffusers,stable-diffusion,stable-diffusion-xl,sdxl,text-to-image,photorealistic,photography,cinematic,portrait,juggernaut,rundiffusion,kandooai,en,base_model:stabilityai/stable-diffusion-xl-base-1.0,base_model:finetune:stabilityai/stable-diffusion-xl-base-1.0,license:creativeml-openrail-m,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2024-02-18 21:05:03+00:00,2026-09-09,10119,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,creativeml-openrail-m,RAIL family,100k-1M,stabilityai/stable-diffusion-xl-base-1.0,True
black-forest-labs/FLUX.1-schnell,black-forest-labs,729023,5746,"diffusers,safetensors,text-to-image,image-generation,flux,en,license:apache-2.0,endpoints_compatible,diffusers:FluxPipeline,deploy:sagemaker,deploy:azure,region:us",2024-07-31 19:58:05+00:00,2026-09-09,3587,True,False,False,,False,False,,False,False,,True,True,"e information that can be used to harm an individual. - To harass, abuse, threaten, stalk, or bully individuals or groups of individuals. - To create non-consensual nudity or illegal pornographic content. - For fully automated decision making that adversely impacts an individual's legal rights or otherwise create",False,False,,False,False,,False,False,False,apache-2.0,permissive,100k-1M,,False
Tongyi-MAI/Z-Image-Turbo,Tongyi-MAI,693909,5216,"diffusers,safetensors,text-to-image,en,arxiv:2511.22699,arxiv:2511.22677,arxiv:2511.13649,license:apache-2.0,diffusers:ZImagePipeline,deploy:azure,region:us",2025-11-25 15:09:48+00:00,2026-09-09,13425,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,apache-2.0,permissive,100k-1M,,False
stabilityai/sdxl-turbo,stabilityai,619241,2626,"diffusers,onnx,safetensors,text-to-image,license:other,diffusers:StableDiffusionXLPipeline,region:us",2023-11-27 15:19:11+00:00,2026-09-09,5701,True,False,False,,False,False,,False,False,,True,True,"ute, adorable, Pixar, Disney, 8k""  image = pipe(prompt, image=init_image, num_inference_steps=2, strength=0.5, guidance_scale=0.0).images[0] ```  ### Out-of-Scope Use  The model was not trained to be factual or true representations of people or events,  and therefore using the model to generate such content is out-",False,False,,False,False,,False,False,False,other,other,100k-1M,,False
CompVis/stable-diffusion-v1-4,CompVis,566098,7059,"diffusers,safetensors,stable-diffusion,stable-diffusion-diffusers,text-to-image,arxiv:2207.12598,arxiv:2112.10752,arxiv:2103.00020,arxiv:2205.11487,arxiv:1910.09700,license:creativeml-openrail-m,endpoints_compatible,diffusers:StableDiffusionPipeline,region:us",2022-08-20 13:26:13+00:00,2026-09-09,15484,True,True,False,"oved-aesthetics"" (a subset of laion2B-en, filtered to images with an original size `>= 512x512`, estimated aesthetics score `> 5.0`, and an estimated watermark probability `< 0.5`. The watermark estimate is from the LAION-5B metadata, the aesthetics score is estimated using an [improved aesthetics estimator]",False,False,,False,False,,True,True,"of people or their environments, cultures, religions, etc. - Intentionally promoting or propagating discriminatory content or harmful stereotypes. - Impersonating individuals without their consent. - Sexual content without consent of the people who might see it. - Mis- and disinformation - Representations of",False,False,,False,False,,False,False,True,creativeml-openrail-m,RAIL family,100k-1M,,False
black-forest-labs/FLUX.2-klein-4B,black-forest-labs,551415,915,"diffusers,safetensors,text-to-image,image-editing,flux,diffusion-single-file,image-to-image,en,license:apache-2.0,diffusers:Flux2KleinPipeline,region:us",2026-01-14 13:42:59+00:00,2026-09-09,9844,True,True,True,"atforms better identify, label, and interpret AI-generated content online. The inference code for FLUX.2 [klein] implements an example of pixel-layer watermarking. Additionally, this repository includes links to the https://c2pa.org/ standard for metadata. The API for FLUX.2 [klein] applies cryptographically-si",True,True,"The inference code for FLUX.2 [klein] implements an example of pixel-layer watermarking. Additionally, this repository includes links to the https://c2pa.org/ standard for metadata. The API for FLUX.2 [klein] applies cryptographically-signed C2PA metadata to downloaded output content to indicate that i",True,True,"and https://www.microsoft.com/. 6. Content provenance. Content provenance features can help users and platforms better identify, label, and interpret AI-generated content online. The inference code for FLUX.2 [klein] implements an example of pixel-layer watermarking. Additionally, this repository includes links",True,True,"e information that can be used to harm an individual. - To harass, abuse, threaten, stalk, or bully individuals or groups of individuals. - To create non-consensual intimate imagery or illegal pornographic content. - For fully automated decision making or high risk applications that adversely impact an individual",False,False,,False,False,,False,True,True,apache-2.0,permissive,100k-1M,,False
wikeeyang/Flux2-Klein-9B-True-V2,wikeeyang,443861,197,"diffusers,gguf,text-to-image,en,zh,base_model:black-forest-labs/FLUX.2-klein-9B,base_model:finetune:black-forest-labs/FLUX.2-klein-9B,license:other,region:us",2026-03-26 08:44:12+00:00,2026-09-09,3153,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,other,other,100k-1M,black-forest-labs/FLUX.2-klein-9B,True
lightx2v/Qwen-Image-Lightning,lightx2v,436033,826,"diffusers,Qwen-Image,distillation,LoRA,lora,text-to-image,en,zh,base_model:Qwen/Qwen-Image,base_model:adapter:Qwen/Qwen-Image,license:apache-2.0,region:us",2025-08-09 14:57:18+00:00,2026-09-09,1743,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,apache-2.0,permissive,100k-1M,Qwen/Qwen-Image,True
stabilityai/sd-turbo,stabilityai,351681,460,"diffusers,safetensors,text-to-image,diffusers:StableDiffusionPipeline,region:us",2023-11-27 16:41:20+00:00,2026-09-09,5847,True,False,False,,False,False,,False,False,,True,True,"ute, adorable, Pixar, Disney, 8k""  image = pipe(prompt, image=init_image, num_inference_steps=2, strength=0.5, guidance_scale=0.0).images[0] ```  ### Out-of-Scope Use  The model was not trained to be factual or true representations of people or events,  and therefore using the model to generate such content is out-",False,False,,False,False,,False,False,False,,unspecified,100k-1M,,False
cagliostrolab/animagine-xl-4.0,cagliostrolab,325358,507,"diffusers,safetensors,text-to-image,stable-diffusion,stable-diffusion-xl,en,base_model:stabilityai/stable-diffusion-xl-base-1.0,base_model:finetune:stabilityai/stable-diffusion-xl-base-1.0,license:openrail++,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2025-01-10 17:51:13+00:00,2026-09-09,14388,True,True,False,"hands, text, error, missing finger, extra digits, fewer digits, cropped, worst quality, low quality, low score, bad score, average score, signature, watermark, username, blurry""  image = pipe(     prompt,     negative_prompt=negative_prompt,     width=832,     height=1216,     guidance_scale=5,     num_infe",False,False,,False,False,,False,False,,False,False,,False,False,,False,False,True,openrail++,RAIL family,100k-1M,stabilityai/stable-diffusion-xl-base-1.0,True
black-forest-labs/FLUX.2-klein-base-4B,black-forest-labs,315882,163,"diffusers,safetensors,text-to-image,image-editing,flux,diffusion-single-file,image-to-image,en,license:apache-2.0,diffusers:Flux2KleinPipeline,deploy:sagemaker,region:us",2026-01-14 13:42:28+00:00,2026-09-09,9937,True,True,True,"atforms better identify, label, and interpret AI-generated content online. The inference code for FLUX.2 [klein] implements an example of pixel-layer watermarking. Additionally, this repository includes links to the https://c2pa.org/ standard for metadata. The API for FLUX.2 [klein] applies cryptographically-si",True,True,"The inference code for FLUX.2 [klein] implements an example of pixel-layer watermarking. Additionally, this repository includes links to the https://c2pa.org/ standard for metadata. The API for FLUX.2 [klein] applies cryptographically-signed C2PA metadata to downloaded output content to indicate that i",True,True,"and https://www.microsoft.com/. 6. Content provenance. Content provenance features can help users and platforms better identify, label, and interpret AI-generated content online. The inference code for FLUX.2 [klein] implements an example of pixel-layer watermarking. Additionally, this repository includes links",True,True,"e information that can be used to harm an individual. - To harass, abuse, threaten, stalk, or bully individuals or groups of individuals. - To create non-consensual intimate imagery or illegal pornographic content. - For fully automated decision making or high risk applications that adversely impact an individual",True,True,"ers). These prohibit the generation of unlawful content or the use of generated content for unlawful, defamatory, or abusive purposes. Developers and users must consent to these conditions to access the FLUX.2 [klein] 9B models on Hugging Face. 8. Safety. Black Forest Labs takes model safety seriously. We pro",False,False,,False,True,True,apache-2.0,permissive,100k-1M,,False
Qwen/Qwen-Image,Qwen,313794,2622,"diffusers,safetensors,text-to-image,en,zh,arxiv:2508.02324,license:apache-2.0,diffusers:QwenImagePipeline,region:us,deploy:azure",2025-08-02 04:58:07+00:00,2026-09-09,6600,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,apache-2.0,permissive,100k-1M,,False
LyliaEngine/Pony_Diffusion_V6_XL,LyliaEngine,276809,166,"diffusers,text-to-image,stable-diffusion,lora,template:sd-lora,base_model:Bakanayatsu/Pony-Diffusion-V6-XL-for-Anime,base_model:adapter:Bakanayatsu/Pony-Diffusion-V6-XL-for-Anime,license:cdla-permissive-2.0,region:us",2024-05-25 09:04:55+00:00,2026-09-09,4974,True,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,,False,False,False,cdla-permissive-2.0,other,100k-1M,Bakanayatsu/Pony-Diffusion-V6-XL-for-Anime,True
