model_id,org,downloads,likes,tags,created_at,card_chars
stabilityai/stable-diffusion-xl-base-1.0,stabilityai,1947914,8125,"diffusers,onnx,safetensors,text-to-image,stable-diffusion,arxiv:2307.01952,arxiv:2211.01324,arxiv:2108.01073,arxiv:2112.10752,license:openrail++,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us,deploy:sagemaker,deploy:azure",2023-07-25 13:25:51+00:00,8592
stable-diffusion-v1-5/stable-diffusion-v1-5,stable-diffusion-v1-5,1563425,1266,"diffusers,safetensors,stable-diffusion,stable-diffusion-diffusers,text-to-image,arxiv:2207.12598,arxiv:2112.10752,arxiv:2103.00020,arxiv:2205.11487,arxiv:1910.09700,license:creativeml-openrail-m,endpoints_compatible,diffusers:StableDiffusionPipeline,region:us",2024-08-30 09:48:48+00:00,14318
Lykon/dreamshaper-7,Lykon,892057,64,"diffusers,safetensors,stable-diffusion,stable-diffusion-diffusers,text-to-image,art,artistic,anime,dreamshaper,en,license:creativeml-openrail-m,endpoints_compatible,diffusers:StableDiffusionPipeline,region:us",2023-08-26 16:49:11+00:00,2179
black-forest-labs/FLUX.1-dev,black-forest-labs,790579,14536,"diffusers,safetensors,text-to-image,image-generation,flux,en,license:other,endpoints_compatible,diffusers:FluxPipeline,region:us",2024-07-31 21:13:44+00:00,3937
RunDiffusion/Juggernaut-XL-v9,RunDiffusion,766250,430,"diffusers,stable-diffusion,stable-diffusion-xl,sdxl,text-to-image,photorealistic,photography,cinematic,portrait,juggernaut,rundiffusion,kandooai,en,base_model:stabilityai/stable-diffusion-xl-base-1.0,base_model:finetune:stabilityai/stable-diffusion-xl-base-1.0,license:creativeml-openrail-m,endpoints_compatible,diffusers:StableDiffusionXLPipeline,region:us",2024-02-18 21:05:03+00:00,10119
black-forest-labs/FLUX.1-schnell,black-forest-labs,729023,5746,"diffusers,safetensors,text-to-image,image-generation,flux,en,license:apache-2.0,endpoints_compatible,diffusers:FluxPipeline,deploy:sagemaker,deploy:azure,region:us",2024-07-31 19:58:05+00:00,3587
Tongyi-MAI/Z-Image-Turbo,Tongyi-MAI,693909,5216,"diffusers,safetensors,text-to-image,en,arxiv:2511.22699,arxiv:2511.22677,arxiv:2511.13649,license:apache-2.0,diffusers:ZImagePipeline,deploy:azure,region:us",2025-11-25 15:09:48+00:00,13425
stabilityai/sdxl-turbo,stabilityai,619241,2626,"diffusers,onnx,safetensors,text-to-image,license:other,diffusers:StableDiffusionXLPipeline,region:us",2023-11-27 15:19:11+00:00,5701
CompVis/stable-diffusion-v1-4,CompVis,566098,7059,"diffusers,safetensors,stable-diffusion,stable-diffusion-diffusers,text-to-image,arxiv:2207.12598,arxiv:2112.10752,arxiv:2103.00020,arxiv:2205.11487,arxiv:1910.09700,license:creativeml-openrail-m,endpoints_compatible,diffusers:StableDiffusionPipeline,region:us",2022-08-20 13:26:13+00:00,15484
black-forest-labs/FLUX.2-klein-4B,black-forest-labs,551415,915,"diffusers,safetensors,text-to-image,image-editing,flux,diffusion-single-file,image-to-image,en,license:apache-2.0,diffusers:Flux2KleinPipeline,region:us",2026-01-14 13:42:59+00:00,9844
wikeeyang/Flux2-Klein-9B-True-V2,wikeeyang,443861,197,"diffusers,gguf,text-to-image,en,zh,base_model:black-forest-labs/FLUX.2-klein-9B,base_model:finetune:black-forest-labs/FLUX.2-klein-9B,license:other,region:us",2026-03-26 08:44:12+00:00,3153
